"date";"Indicator"
"2023-01-30";0,2538
"2023-01-31";0,237
"2023-02-01";0,2178
"2023-02-02";0,2014
"2023-02-03";0
"2023-02-04";0,332
"2023-02-05";0,5524
"2023-02-06";0,6992
"2023-02-07";0,8184
"2023-02-08";0,8176
"2023-02-09";0,8168
"2023-02-10";0,8156
"2023-02-11";0,832
"2023-02-12";0,9624
"2023-02-13";0,9632
"2023-02-14";0,964
"2023-02-15";0,6114
"2023-02-16";0,5948
"2023-02-17";0,5862
"2023-02-18";0,3342
"2023-02-19";0,4888
"2023-02-20";0,685
"2023-02-21";0,3128
"2023-02-22";0,5682
"2023-02-23";0,6242
"2023-02-24";0,1388
"2023-02-25";0,0848
"2023-02-26";0,1796
"2023-02-27";0,1592
"2023-02-28";0,1396
"2023-03-01";0,1252
"2023-03-02";0,412
"2023-03-03";0,39
"2023-03-04";0,369
"2023-03-05";0,2804
"2023-03-06";0,0048
"2023-03-07";0,112
"2023-03-08";0,106
"2023-03-09";0,2926
"2023-03-10";0,7516
"2023-03-11";0,5048
"2023-03-12";0,3814
"2023-03-13";0,3356
"2023-03-14";0,5974
"2023-03-15";0,0066
"2023-03-16";0,0552
"2023-03-17";0,2222
"2023-03-18";0,3542
"2023-03-19";0,2652
"2023-03-20";0,1856
"2023-03-21";0,114
"2023-03-22";0,05
"2023-03-23";0,0204
"2023-03-24";0,0174
"2023-03-25";0,0192
"2023-03-26";0,4408
"2023-03-27";0,2878
"2023-03-28";0,8524
"2023-03-29";0,8356
"2023-03-30";0,8124
"2023-03-31";0,5152
"2023-04-01";0,5618
"2023-04-02";0,6568
"2023-04-03";0,9444
"2023-04-04";0,7726
"2023-04-05";1
"2023-04-06";0,9514
"2023-04-07";0,9064
"2023-04-08";0,6906
"2023-04-09";0,7282
"2023-04-10";0,3176
"2023-04-11";0,4222
"2023-04-12";0,2266
"2023-04-13";0,4386
"2023-04-14";0,6964
"2023-04-15";0,3676
"2023-04-16";0,4786
"2023-04-17";0,4922
